0: 0.06240;  1: 0.06240;  2: 0.06240;  3: 0.06240;  4: 0.035000
0: 0.03600;  1: 0.03600;  2: 0.03600;  3: 0.03600;  4: 0.020000
0: 0.02160;  1: 0.02160;  2: 0.02160;  3: 0.02160;  4: 0.010500
0: 0.01800;  1: 0.01800;  2: 0.01800;  3: 0.01800;  4: 0.009440
0: 0.02569;  1: 0.02569;  2: 0.02569;  3: 0.02569;  4: 0.008880
0: 0.06166;  1: 0.06166;  2: 0.06166;  3: 0.06166;  4: 0.014440
0: 0.23290;  1: 0.23290;  2: 0.23290;  3: 0.23290;  4: 0.060277
0: 0.42160;  1: 0.42160;  2: 0.42160;  3: 0.42160;  4: 0.204166
0: 0.44730;  1: 0.44730;  2: 0.44730;  3: 0.44730;  4: 0.340800
0: 0.37600;  1: 0.37600;  2: 0.37600;  3: 0.37600;  4: 0.277500
0: 0.32400;  1: 0.32400;  2: 0.32400;  3: 0.32400;  4: 0.253000
0: 0.33100;  1: 0.33100;  2: 0.33100;  3: 0.33100;  4: 0.282000
0: 0.36300;  1: 0.36300;  2: 0.36300;  3: 0.36300;  4: 0.323000
0: 0.36170;  1: 0.36170;  2: 0.36170;  3: 0.36170;  4: 0.330500
0: 0.40150;  1: 0.40150;  2: 0.40150;  3: 0.40150;  4: 0.381600
0: 0.45570;  1: 0.45570;  2: 0.45570;  3: 0.45570;  4: 0.466110
0: 0.45290;  1: 0.45290;  2: 0.45290;  3: 0.45290;  4: 0.441000
0: 0.43150;  1: 0.43150;  2: 0.43150;  3: 0.43150;  4: 0.450270
0: 0.35900;  1: 0.35900;  2: 0.35900;  3: 0.35900;  4: 0.386600
0: 0.24900;  1: 0.24900;  2: 0.24900;  3: 0.24900;  4: 0.253880
0: 0.20400;  1: 0.20400;  2: 0.20400;  3: 0.20400;  4: 0.168800
0: 0.17800;  1: 0.17800;  2: 0.17800;  3: 0.17800;  4: 0.150550
0: 0.16740;  1: 0.16740;  2: 0.16740;  3: 0.16740;  4: 0.147220
0: 0.12570;  1: 0.12570;  2: 0.12570;  3: 0.12570;  4: 0.095277